country_uid,sample_size,data_density_tier,missing_signals,fallback_used,regional_baseline_used,elo_contribution,squad_contribution,form_contribution,attack_contribution,historical_weight,recent_weight,squad_weight,confidence_adjustment,overall_rank_score,rank
C_CL,132.08896824119435,HIGH,0,False,False,0.25398440970732006,0.0754151702042184,0.2,0.04536346833401215,0.0,1.0,0.2,0.8542040043290043,0.4909648973516941,30
C_IR,107.79997348516638,HIGH,0,False,False,0.31389018118509965,0.06857006187648787,0.11952327937270511,0.11075026956291083,0.4023836031364745,0.5976163968635255,0.2,0.7760714285714285,0.47552518928925824,31
C_GB-NIR,228.74800255337504,HIGH,0,False,False,0.21950730327366857,0.11914909868917914,0.11243358779869793,0.024976141327239177,0.4378320610065104,0.5621679389934896,0.2,0.95775487012987,0.4559546555541688,32
C_PY,129.69790985821942,HIGH,0,False,False,0.30213519165803115,0.07843709786739679,0.11908335139142578,0.037927295868084715,0.4045832430428711,0.5954167569571289,0.2,0.8467537878787877,0.4552003880216495,33
C_US,140.48534033124218,HIGH,0,False,False,0.20481043832642246,0.12466701806683987,0.06135440741220208,0.04190399975007359,0.6932279629389897,0.30677203706101036,0.2,0.9792261904761904,0.423746291151914,34
C_VE,75.83723347765938,HIGH,0,False,False,0.2466472968755295,0.08440324454277656,0.12875581227295904,0.002261628952050915,0.35622093863520476,0.6437790613647952,0.2,0.9080275974025972,0.4195704801162752,35
C_EG,125.84488732206069,HIGH,0,False,False,0.28419952098410123,0.06229383789913648,0.14815083508664972,0.09020997964332024,0.2592458245667514,0.7407541754332486,0.2,0.7050795454545454,0.41236871488839427,36
C_ZA,81.63797716799903,HIGH,0,False,False,0.21491106190097323,0.06705456026499274,0.09023583168684154,0.0833290575268226,0.5488208415657923,0.4511791584342077,0.2,0.642319264069264,0.2925960228304595,37
C_PE,113.68831635807456,HIGH,0,False,False,0.23081920373252776,0.056277728733615306,0.030484648465791214,0.03200855394816246,0.8475767576710439,0.15242324232895607,0.2,0.5895367965367965,0.20609624821807881,38
C_SA,128.6925470300189,HIGH,0,False,False,0.21859463021819478,0.014343114371260818,0.06138831198225724,0.0770935519410304,0.6930584400887139,0.3069415599112862,0.2,0.4606774891774892,0.17110465268093655,39
C_BO,90.6409148621101,HIGH,0,False,False,0.20788200720967806,0.002765239272205347,0.12177358047536505,0.001206563091326139,0.3911320976231748,0.6088679023768252,0.2,0.3844107142857144,0.1282499433138512,40
C_QA,109.4065737971245,HIGH,0,False,False,0.17382691524718244,0.0,0.09402431024095459,0.05682028766909031,0.529878448795227,0.4701215512047729,0.2,0.2667370129870129,0.08660190962153247,41
C_CN,106.26617239027742,HIGH,0,False,False,0.14643326596928863,0.011853159917633097,0.11922166993232292,0.08674728079441345,0.4038916503383855,0.5961083496616145,0.2,0.174431277056277,0.06353753051733552,42
C_AE,103.87798033000334,HIGH,0,False,False,0.2002144777998963,0.032661264439805326,0.08893614955790591,0.05524915156639099,0.5553192522104704,0.44468074778952954,0.2,0.1095297619047618,0.04129940630321982,43
C_IN,79.66235403310831,HIGH,0,False,False,0.0,0.048788066042548206,0.0,0.026119861710729178,1.0,0.0,0.2,0.0862121212121212,0.006457971347214367,44
C_ZM,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,45
C_GN,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,46
C_NC,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,47
C_GH,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,48
C_ML,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,49
C_BF,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,50
C_CD,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,51
C_CV,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,52
C_UG,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,53
C_BJ,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,54
C_MZ,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,55
C_GQ,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,56
C_AO,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,57
C_GA,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,58
C_FJ,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,59
C_TJ,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,60
C_NZ,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,61
C_SB,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,62
C_SY,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,63
C_PS,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,64
C_KP,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,65
C_KW,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,66
C_LB,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,67
C_ID,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,68
C_TH,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,69
C_VN,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,70
C_BH,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,71
C_KG,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,72
C_OM,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,73
C_JO,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,74
C_UZ,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,75
